15601	(-324075030.713-39776573.5829j)	(-5140951.37879+3817587.80676j)	(36.9287662542+35.1599087476j)
15642	(-116077077.35-14514236.5481j)	(-989611.68918+582431.946476j)	(80.7076032654+62.1667303308j)
CAN90	(-172142304.533-24931356.7913j)	(-1045415.26567+219615.798794j)	(152.906122524+55.9700618033j)
CAN91	(-89209803.4475-12633426.2157j)	(-897730.510792+184839.041074j)	(92.5515417471+33.1286105181j)
CAN92	(-81925882.594-17108840.9049j)	(-768371.350446+241730.288302j)	(90.6461653272+50.7837317987j)
14506	(-356439707.983-93116884.7965j)	(-4132963.01272+644302.939959j)	(80.7679179241+35.1215075777j)
14521	(-357167509.198-93109104.5114j)	(-4132963.01272+644302.939959j)	(80.9401230348+35.1464707757j)
14503	(-350770497.08-54536340.5333j)	(-3618517.59028+1025003.30447j)	(85.7850279533+39.3714481428j)
CAN94	(-84683646.6581-18871310.7195j)	(-654890.502467+330272.607188j)	(91.5043789283+74.9632195494j)
15628	(-278929911.014-2429814.51006j)	(-4372935.99369+3747528.49527j)	(36.5017539956+31.8370033169j)
26325	(-96717708.3762+20077471.3668j)	(-2726526.03288+2260585.83146j)	(24.6401031235+13.0655626282j)
CAN24	(45254419.9469+29584553.929j)	(2171203.4567-235866.637784j)	(19.1369358606+15.704801198j)
CAN58	(-68731211.6246-22171105.9261j)	(-2364647.13323+611561.289921j)	(24.97099863+15.8342450054j)
CAN28	(-117759237.018-86927193.7857j)	(-4725054.03334+464374.818179j)	(22.8931329922+20.6469994984j)
CAN29	(-60569004.5158+14074105.5741j)	(-2031451.73957+1443815.71704j)	(23.0806942935+9.47606247888j)
CAN30	(-255340002.808+24160158.7182j)	(-4470169.17311+2695870.94725j)	(44.2766902046+21.2976467686j)
CAN31	(-205467846.636+5335172.91197j)	(-5153678.81913+3638648.64559j)	(27.0935558034+18.0936299077j)
26316	(-237264733.544+99454545.4405j)	(-3924731.29383+6072118.96346j)	(29.3663372709+20.0934387823j)
14997	(-311687347.616+13985015.1187j)	(-6820308.59111+4971822.86741j)	(30.8179327397+20.4149542126j)
15901	(-283120381.572-16178446.6407j)	(-3282438.8234+2265489.10048j)	(56.1188098539+43.6611332022j)
25009	(-329895690.088+15402574.3077j)	(-6713544.95568+4360914.58136j)	(35.6056348728+20.8340837681j)
CAN96	(-124294145.511-778990.018872j)	(-1979567.0672+1505961.68783j)	(39.5815497195+30.5053000942j)
CAN63	(-124277048.936-713970.675656j)	(-2204735.47275+1570282.87809j)	(37.2444433231+26.8505147495j)
CAN60	(-115466955.619-5475537.52j)	(-1831492.33768+1639064.70339j)	(33.5218552211+32.9895058593j)
CAN61	(-196929257.639+12838427.2725j)	(-3792739.83857+3549308.96132j)	(29.3697722245+24.0997200879j)
CAN62	(-182081361.46+1542883.83328j)	(-3645181.61899+2653901.88044j)	(32.8478316578+23.491844117j)
94912	(-324621767.094+5058116.348j)	(-5337395.40964+3959705.31781j)	(39.682594675+28.4920364972j)
CAN59	(-112492240.933+5774407.98152j)	(-2139606.4474+1748281.54142j)	(32.8492455543+24.1424406499j)
25004	(-320831074.187+20947294.4962j)	(-5479344.97159+4995720.41109j)	(33.877335884+27.0642576114j)
15919	(-220289457.811+1979161.93731j)	(-5199220.47069+4233969.44642j)	(25.661798605+20.5169428567j)
14996	(-352058457.065-934374.721303j)	(-6624700.86929+4718142.81984j)	(35.1921430458+25.2050522797j)
14688	(-376897200.751-28112733.4537j)	(-4498199.27437+2272873.82948j)	(64.2314148863+38.704962755j)
14645	(-269561342.264-16796461.2096j)	(-2983111.94137+1761902.54803j)	(64.5273114306+43.7420043903j)
CAN08	(-98201043.082+11223179.8825j)	(-2366236.96354+1841642.87146j)	(28.1441156039+17.1615229661j)
94932	(-147093156.23+23940532.8757j)	(-2921931.73706+2826892.36595j)	(30.0969995063+20.924665861j)
15806	(-144834242.405-19054440.5588j)	(-2387159.82455+1934555.43405j)	(32.7168107875+34.4957735153j)
CAN17	(-141055006.762-7476713.9245j)	(-2514240.13461+1291662.70495j)	(43.1786702377+25.1563050996j)
CAN67	(-69210389.5273+1256247.50455j)	(-1307939.09168+1090211.52999j)	(31.6951098503+25.4584689077j)
94797	(-360714386.412-15999867.8195j)	(-5462421.42873+4253058.5122j)	(39.692517789+33.8337989634j)
CAN10	(-59854521.1033+4781599.562j)	(-1260948.00175+1043073.49264j)	(30.0452702261+21.0617926776j)
94803	(-364090107.725+1172886.97213j)	(-4403373.49136+2934967.86059j)	(57.3733163134+37.9745104046j)
CAN64	(-93234131.6899+13428073.7911j)	(-2265254.84967+1105799.19223j)	(35.5747127881+11.4381897814j)
04797	(263742832.673-58579951.6002j)	(1780410.53288-1597825.55589j)	(98.4064472124+55.4121551169j)
14899	(-355372679.514+545364.268365j)	(-6617617.89071+5740044.75373j)	(30.6857041341+26.5340117337j)
14999	(-352133569.946-18520826.569j)	(-5134873.70728+4236144.51829j)	(39.0348084196+35.809627804j)
CAN68	(-136628711.008-11901967.3269j)	(-3174525.68498+1795757.20946j)	(30.9988899026+21.284580457j)
CAN15	(-183807398.714-18679791.8114j)	(-1623058.02392+1036933.29194j)	(75.2006377196+59.552915061j)
94805	(-384352947.758-8432509.05044j)	(-6066930.84526+3328210.67898j)	(48.1109969739+27.7827532989j)
CANA1	(-238623271.91-7193557.32075j)	(-1602676.29358+1041162.96846j)	(102.652098452+71.1753966285j)
94857	(-184735671.568-5300900.78921j)	(-2279196.74658+1100717.43596j)	(64.813241088+33.6267439179j)
04704	(-364201242.387-19705159.4097j)	(-5688335.31311+2836487.29591j)	(49.89269098+28.3431152804j)
CAN65	(-92185407.7137+6963022.81458j)	(-1834550.2586+1522157.90399j)	(31.6262806374+22.4453759379j)
04705	(-376610565.17-19575095.285j)	(-4907233.90765+4085287.68557j)	(43.3682532234+40.0932357873j)
CAN14	(-381287584.518-44649527.4468j)	(-5630745.99119+4508148.36181j)	(37.3956444542+37.8696963183j)
04772	(-380737352.778-45257302.9813j)	(-5630745.99119+4508148.36181j)	(37.2834341316+37.8877960074j)
CAN70	(13326387.8745-149994325.915j)	(-2111666.22577-2866489.74685j)	(31.6992392239+28.0010074392j)
CAN99	(-12631613.8178-65306858.928j)	(-1005624.72493-1091516.05752j)	(38.128928582+23.5560249639j)
94842	(-312239972.421+11475348.8404j)	(-4743358.13821+3226111.12044j)	(46.1323038019+28.9568245669j)
94858	(-113327688.738-4230002.10803j)	(-1724331.51564+893758.809874j)	(50.8026523902+28.7852537615j)
15909	(-348591995.435-33430977.9558j)	(-6415435.30178+4502261.64576j)	(33.9559909127+29.0408561106j)
CAN16	(79336266.3918-240765588.681j)	(-241189.437412-922594.650088j)	(223.2289579+144.350211817j)
CAN71	(-117558769.407-9815886.47155j)	(-2425216.89383+1200121.80582j)	(37.3294726912+22.519965446j)
94828	(323834561.776-175129086.94j)	(2243013.77059-6736344.09614j)	(37.812264442+35.4823222395j)
94804	(-360434532.765+43821698.6432j)	(-6947091.08372+5783700.16294j)	(33.7451109348+21.7860832893j)
94831	(-336368471.561+83719382.1945j)	(-5026093.83458+7025614.86126j)	(30.5383631573+26.030432409j)
CAN72	(-52080577.6074-2660519.27131j)	(-856448.364757+487931.513001j)	(44.572893036+28.5003035952j)
CANA2	(103819377.754-319425762.362j)	(-574465.211701-1338054.66858j)	(173.442940929+152.053812381j)
04795	(-393974999.572-19642989.6872j)	(-6365068.16404+3585551.16016j)	(45.6667502219+28.8109183122j)
